time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,36.260732,-35.297524,741.997574,0.000000
0.000500,0.000000,0.000000,36.072529,-35.091350,738.177423,0.000000
0.001000,699.595050,0.000000,34.162673,-32.850057,699.595595,0.000000
0.001500,665.267610,0.000000,32.463424,-30.845472,665.269060,0.000000
0.002000,636.181820,0.000000,31.023185,-29.130412,636.184404,0.000000
0.002500,611.632451,0.000000,29.807041,-27.666044,611.636312,0.000000
0.003000,591.006082,0.000000,28.784632,-26.418409,591.011304,0.000000
0.003500,573.769007,0.000000,27.929554,-25.357860,573.775637,0.000000
0.004000,559.456822,0.000000,27.218839,-24.458552,559.464881,0.000000
0.004500,547.665426,0.000000,26.632507,-23.697983,547.674920,0.000000
0.005000,538.043231,0.000000,26.153181,-23.056588,538.054155,0.000000
0.005500,530.284410,0.000000,25.765748,-22.517379,530.296753,0.000000
0.006000,524.123032,0.000000,25.457071,-22.065620,524.136776,0.000000
0.006500,519.327953,0.000000,25.215736,-21.688543,519.343079,0.000000
0.007000,515.698384,0.000000,25.031827,-21.375103,515.714866,0.000000
0.007500,513.060009,0.000000,24.896742,-21.115754,513.077819,0.000000
0.008000,511.261613,0.000000,24.803018,-20.902256,511.280720,0.000000
0.008500,510.172135,0.000000,24.744190,-20.727505,510.192506,0.000000
0.009000,509.678094,0.000000,24.714661,-20.585387,509.699690,0.000000
0.009500,509.681338,0.000000,24.709591,-20.470647,509.704118,0.000000
0.010000,510.097083,0.000000,24.724802,-20.378772,510.121002,0.000000
0.010500,510.852195,0.000000,24.756690,-20.305898,510.877208,0.000000
0.011000,511.883694,0.000000,24.802153,-20.248719,511.909748,0.000000
0.011500,513.137433,0.000000,24.858525,-20.204413,513.164476,0.000000
0.012000,514.566965,0.000000,24.923519,-20.170578,514.594940,0.000000
0.012500,516.132531,0.000000,24.995181,-20.145172,516.161379,0.000000
0.013000,517.800190,0.000000,25.071839,-20.126467,517.829852,0.000000
0.013500,519.541055,0.000000,25.152075,-20.113001,519.571467,0.000000
0.014000,521.330623,0.000000,25.234685,-20.103547,521.361723,0.000000
0.014500,523.148195,0.000000,25.318652,-20.097075,523.179917,0.000000
0.015000,524.976366,0.000000,25.403123,-20.092728,525.008643,0.000000
0.015500,526.800581,0.000000,25.487383,-20.089793,526.833346,0.000000
0.016000,528.608747,0.000000,25.570840,-20.087685,528.641933,0.000000
0.016500,530.390899,0.000000,25.653006,-20.085926,530.424438,0.000000
0.017000,532.138902,0.000000,25.733484,-20.084130,532.172726,0.000000
0.017500,533.846198,0.000000,25.811953,-20.081987,533.880239,0.000000
0.018000,535.507582,0.000000,25.888159,-20.079257,535.541772,0.000000
0.018500,537.119007,0.000000,25.961906,-20.075752,537.153279,0.000000
0.019000,538.677417,0.000000,26.033046,-20.071335,538.711706,0.000000
0.019500,540.180602,0.000000,26.101471,-20.065908,540.214841,0.000000
0.020000,541.627068,0.000000,26.167110,-20.059405,541.661191,0.000000
0.020500,543.015927,0.000000,26.229922,-20.051789,543.049870,0.000000
0.021000,544.346805,0.000000,26.289888,-20.043048,544.380505,0.000000
0.021500,545.619756,0.000000,26.347014,-20.033186,545.653150,0.000000
0.022000,546.835191,0.000000,26.401322,-20.022224,546.868218,0.000000
0.022500,549.559775,0.000000,26.529416,-20.083126,549.592493,0.000000
0.023000,555.750818,0.000000,26.826939,-20.306150,555.783428,0.000000
0.023500,561.129301,0.000000,27.084631,-20.491370,561.161685,0.000000
0.024000,565.798565,0.000000,27.307571,-20.643744,565.830621,0.000000
0.024500,569.848737,0.000000,27.500185,-20.767573,569.880377,0.000000
0.025000,573.358418,0.000000,27.666335,-20.866586,573.389569,0.000000
0.025500,576.396160,0.000000,27.809386,-20.944023,576.426759,0.000000
0.026000,579.021751,0.000000,27.932273,-21.002695,579.051747,0.000000
0.026500,581.287340,0.000000,28.037555,-21.045044,581.316690,0.000000
0.027000,583.238419,0.000000,28.127464,-21.073187,583.267087,0.000000
0.027500,584.914673,0.000000,28.203947,-21.088967,584.942630,0.000000
0.028000,586.350732,0.000000,28.268701,-21.093983,586.377956,0.000000
0.028500,587.576817,0.000000,28.323208,-21.089624,587.603289,0.000000
0.029000,588.619307,0.000000,28.368760,-21.077096,588.645014,0.000000
0.029500,589.501233,0.000000,28.406486,-21.057451,589.526166,0.000000
0.030000,590.242710,0.000000,28.437369,-21.031600,590.266862,0.000000
0.030500,590.861308,0.000000,28.462271,-21.000336,590.884676,0.000000
0.031000,591.372384,0.000000,28.481943,-20.964350,591.394966,0.000000
0.031500,591.789359,0.000000,28.497040,-20.924240,591.811157,0.000000
0.032000,592.123973,0.000000,28.508138,-20.880531,592.144989,0.000000
0.032500,592.386496,0.000000,28.515737,-20.833675,592.406734,0.000000
0.033000,592.585917,0.000000,28.520277,-20.784070,592.605383,0.000000
0.033500,614.752766,6.676079,28.409557,-23.675347,621.450179,0.000000
0.034000,611.340648,8.384531,27.934384,-23.957576,619.745990,0.000000
0.034500,608.015394,10.062396,27.468965,-24.234444,618.098109,0.000000
0.035000,604.774190,11.710775,27.012960,-24.506148,616.504822,0.000000
0.035500,601.614308,13.330732,26.566041,-24.772879,614.964463,0.000000
0.036000,598.533096,14.923298,26.127890,-25.034824,613.475414,0.000000
0.036500,595.566192,16.450886,25.706914,-25.282595,612.035716,0.000000
0.037000,592.785952,17.846614,25.318484,-25.499281,610.650832,0.000000
0.037500,590.122519,19.186340,24.945694,-25.703409,609.326776,0.000000
0.038000,587.558213,20.469959,24.587757,-25.895461,608.045764,0.000000
0.038500,585.089573,21.699724,24.244099,-26.075929,606.806588,0.000000
0.039000,582.713252,22.877805,23.914168,-26.245289,605.608071,0.000000
0.039500,580.426009,24.006292,23.597429,-26.404000,604.449061,0.000000
0.040000,578.224707,25.087199,23.293369,-26.552504,603.328435,0.000000
0.040500,576.106311,26.122466,23.001491,-26.691228,602.245096,0.000000
0.041000,574.067883,27.113960,22.721318,-26.820581,601.197975,0.000000
0.041500,572.106580,28.063482,22.452388,-26.940961,600.186028,0.000000
0.042000,570.219651,28.972763,22.194257,-27.052749,599.208235,0.000000
0.042500,568.404436,29.843473,21.946496,-27.156313,598.263604,0.000000
0.043000,566.658359,30.677217,21.708692,-27.252008,597.351165,0.000000
0.043500,564.978929,31.475544,21.480446,-27.340174,596.469974,0.000000
0.044000,563.363737,32.239941,21.261375,-27.421141,595.619109,0.000000
0.044500,561.810451,32.971844,21.051108,-27.495225,594.797672,0.000000
0.045000,560.316816,33.672631,20.849289,-27.562731,594.004788,0.000000
0.045500,558.880653,34.343631,20.655574,-27.623953,593.239604,0.000000
0.046000,557.499853,34.986122,20.469632,-27.679173,592.501288,0.000000
0.046500,556.172375,35.601335,20.291144,-27.728663,591.789031,0.000000
0.047000,554.896249,36.190452,20.119802,-27.772684,591.102043,0.000000
0.047500,553.669569,36.754613,19.955310,-27.811489,590.439556,0.000000
0.048000,552.490490,37.294912,19.797383,-27.845318,589.800822,0.000000
0.048500,551.357231,37.812404,19.645745,-27.874406,589.185111,0.000000
0.049000,550.268071,38.308101,19.500133,-27.898976,588.591715,0.000000
0.049500,549.221344,38.782979,19.360290,-27.919242,588.019943,0.000000
0.050000,548.215443,39.237973,19.225972,-27.935412,587.469121,0.000000
0.050500,547.248812,39.673986,19.096943,-27.947685,586.938597,0.000000
0.051000,546.319949,40.091882,18.972974,-27.956252,586.427733,0.000000
0.051500,545.427404,40.492494,18.853847,-27.961296,585.935910,0.000000
0.052000,544.569774,40.876623,18.739350,-27.962993,585.462525,0.000000
0.052500,543.745705,41.245036,18.629281,-27.961513,585.006992,0.000000
0.053000,542.953890,41.598473,18.523445,-27.957018,584.568741,0.000000
0.053500,542.193065,41.937642,18.421654,-27.949664,584.147218,0.000000
0.054000,541.462011,42.263225,18.323727,-27.939601,583.741884,0.000000
0.054500,540.759549,42.575876,18.229490,-27.926972,583.352215,0.000000
0.055000,540.084543,42.876223,18.138775,-27.911916,582.977702,0.000000
0.055500,539.435896,43.164870,18.051423,-27.894565,582.617850,0.000000
0.056000,538.812547,43.442395,17.967279,-27.875045,582.272178,0.000000
0.056500,538.213475,43.709354,17.886193,-27.853477,581.940219,0.000000
0.057000,537.637692,43.966280,17.808023,-27.829979,581.621519,0.000000
0.057500,537.084248,44.213685,17.732633,-27.804662,581.315636,0.000000
0.058000,536.552223,44.452058,17.659888,-27.777633,581.022144,0.000000
0.058500,536.040732,44.681870,17.589664,-27.748993,580.740626,0.000000
0.059000,535.548920,44.903572,17.521839,-27.718842,580.470678,0.000000
0.059500,535.075965,45.117597,17.456294,-27.687273,580.211909,0.000000
0.060000,534.621070,45.324359,17.392919,-27.654376,579.963938,0.000000
0.060500,534.183471,45.524254,17.331605,-27.620237,579.726397,0.000000
0.061000,533.762429,45.717663,17.272248,-27.584938,579.498926,0.000000
0.061500,533.357233,45.904950,17.214750,-27.548557,579.281178,0.000000
0.062000,532.967197,46.086464,17.159015,-27.511170,579.072817,0.000000
0.062500,532.591660,46.262539,17.104951,-27.472849,578.873514,0.000000
0.063000,532.229986,46.433494,17.052471,-27.433662,578.682954,0.000000
0.063500,531.881562,46.599635,17.001491,-27.393674,578.500828,0.000000
0.064000,531.545798,46.761254,16.951930,-27.352948,578.326839,0.000000
0.064500,531.222125,46.918630,16.903711,-27.311544,578.160697,0.000000
0.065000,530.909995,47.072032,16.856760,-27.269518,578.002122,0.000000
0.065500,530.608882,47.221714,16.811005,-27.226925,577.850843,0.000000
0.066000,530.318280,47.367921,16.766380,-27.183817,577.706597,0.000000
0.066500,530.037700,47.510885,16.722818,-27.140242,577.569128,0.000000
0.067000,529.766672,47.650830,16.680257,-27.096248,577.438191,0.000000
0.067500,529.504746,47.787967,16.638638,-27.051879,577.313545,0.000000
0.068000,529.251487,47.922499,16.597904,-27.007178,577.194959,0.000000
0.068500,529.006478,48.054621,16.558000,-26.962184,577.082210,0.000000
0.069000,528.769317,48.184515,16.518874,-26.916938,576.975079,0.000000
0.069500,528.539619,48.312358,16.480476,-26.871474,576.873358,0.000000
0.070000,528.317012,48.438316,16.442758,-26.825828,576.776842,0.000000
0.070500,528.101142,48.562551,16.405675,-26.780032,576.685334,0.000000
0.071000,527.891666,48.685212,16.369183,-26.734117,576.598646,0.000000
0.071500,527.688256,48.806444,16.333241,-26.688114,576.516591,0.000000
0.072000,527.490595,48.926385,16.297809,-26.642050,576.438993,0.000000
0.072500,527.298382,49.045166,16.262849,-26.595951,576.365678,0.000000
0.073000,527.111327,49.162909,16.228325,-26.549842,576.296481,0.000000
0.073500,526.929149,49.279733,16.194203,-26.503748,576.231240,0.000000
0.074000,526.751583,49.395749,16.160450,-26.457690,576.169800,0.000000
0.074500,526.578371,49.511063,16.127034,-26.411689,576.112010,0.000000
0.075000,526.409268,49.625776,16.093927,-26.365766,576.057725,0.000000
0.075500,526.244039,49.739983,16.061100,-26.319938,576.006805,0.000000
0.076000,526.082458,49.853773,16.028525,-26.274224,575.959113,0.000000
0.076500,525.924309,49.967232,15.996178,-26.228640,575.914519,0.000000
0.077000,525.769385,50.080440,15.964034,-26.183201,575.872896,0.000000
0.077500,525.617487,50.193472,15.932070,-26.137922,575.834123,0.000000
0.078000,525.468427,50.306402,15.900264,-26.092817,575.798080,0.000000
0.078500,525.322022,50.419295,15.868595,-26.047897,575.764655,0.000000
0.079000,525.178100,50.532217,15.837044,-26.003175,575.733737,0.000000
0.079500,525.036495,50.645226,15.805592,-25.958662,575.705221,0.000000
0.080000,524.897047,50.758379,15.774222,-25.914368,575.679005,0.000000
0.080500,524.759606,50.871728,15.742916,-25.870303,575.654989,0.000000
0.081000,524.624028,50.985323,15.711660,-25.826475,575.633079,0.000000
0.081500,524.490174,51.099211,15.680437,-25.782892,575.613182,0.000000
0.082000,524.357912,51.213434,15.649235,-25.739562,575.595212,0.000000
0.082500,524.227117,51.328034,15.618039,-25.696491,575.579082,0.000000
0.083000,524.097670,51.443047,15.586838,-25.653686,575.564710,0.000000
0.083500,523.969455,51.558509,15.555620,-25.611153,575.552018,0.000000
0.084000,523.842365,51.674451,15.524373,-25.568896,575.540929,0.000000
0.084500,523.716297,51.790906,15.493088,-25.526920,575.531370,0.000000
0.085000,523.591150,51.907899,15.461755,-25.485229,575.523270,0.000000
0.085500,523.466833,52.025457,15.430364,-25.443828,575.516562,0.000000
0.086000,523.343255,52.143603,15.398907,-25.402718,575.511180,0.000000
0.086500,523.220334,52.262359,15.367377,-25.361904,575.507061,0.000000
0.087000,523.097987,52.381744,15.335766,-25.321386,575.504144,0.000000
0.087500,522.976140,52.501776,15.304066,-25.281169,575.502371,0.000000
0.088000,522.854719,52.622472,15.272273,-25.241252,575.501687,0.000000
0.088500,522.733657,52.743845,15.240380,-25.201638,575.502037,0.000000
0.089000,522.612889,52.865910,15.208381,-25.162327,575.503370,0.000000
0.089500,522.492354,52.988677,15.176272,-25.123321,575.505635,0.000000
0.090000,522.371993,53.112156,15.144047,-25.084619,575.508786,0.000000
0.090500,522.251753,53.236356,15.111704,-25.046222,575.512776,0.000000
0.091000,522.131582,53.361284,15.079237,-25.008130,575.517562,0.000000
0.091500,522.011430,53.486947,15.046645,-24.970342,575.523100,0.000000
0.092000,521.891252,53.613351,15.013922,-24.932858,575.529350,0.000000
0.092500,521.771006,53.740498,14.981068,-24.895678,575.536275,0.000000
0.093000,521.650651,53.868392,14.948079,-24.858799,575.543835,0.000000
0.093500,521.530148,53.997035,14.914952,-24.822221,575.551995,0.000000
0.094000,521.409463,54.126429,14.881687,-24.785943,575.560721,0.000000
0.094500,521.288562,54.256572,14.848282,-24.749963,575.569980,0.000000
0.095000,521.167414,54.387466,14.814735,-24.714280,575.579741,0.000000
0.095500,521.045990,54.519109,14.781044,-24.678891,575.589972,0.000000
0.096000,520.924264,54.651498,14.747210,-24.643795,575.600646,0.000000
0.096500,520.802209,54.784632,14.713231,-24.608990,575.611735,0.000000
0.097000,520.679803,54.918506,14.679107,-24.574473,575.623212,0.000000
0.097500,520.557025,55.053116,14.644837,-24.540242,575.635051,0.000000
0.098000,520.433854,55.188459,14.610422,-24.506296,575.647229,0.000000
0.098500,520.310273,55.324530,14.575861,-24.472630,575.659722,0.000000
0.099000,520.186264,55.461322,14.541155,-24.439243,575.672509,0.000000
0.099500,520.061813,55.598830,14.506304,-24.406132,575.685567,0.000000
0.100000,519.936906,55.737047,14.471308,-24.373294,575.698877,0.000000
0.100500,519.811530,55.875967,14.436168,-24.340727,575.712420,0.000000
0.101000,519.685674,56.015582,14.400884,-24.308428,575.726177,0.000000
0.101500,519.559327,56.155885,14.365459,-24.276393,575.740130,0.000000
0.102000,519.432482,56.296869,14.329892,-24.244620,575.754264,0.000000
0.102500,519.305130,56.438524,14.294185,-24.213106,575.768561,0.000000
0.103000,519.177264,56.580843,14.258338,-24.181847,575.783007,0.000000
0.103500,519.048878,56.723817,14.222354,-24.150841,575.797587,0.000000
0.104000,518.919968,56.867438,14.186233,-24.120085,575.812288,0.000000
0.104500,518.790529,57.011695,14.149977,-24.089574,575.827097,0.000000
0.105000,518.660559,57.156580,14.113587,-24.059307,575.842000,0.000000
0.105500,518.530054,57.302084,14.077065,-24.029281,575.856987,0.000000
0.106000,518.399014,57.448197,14.040413,-23.999491,575.872046,0.000000
0.106500,518.267436,57.594908,14.003632,-23.969934,575.887166,0.000000
0.107000,518.135322,57.742210,13.966724,-23.940608,575.902338,0.000000
0.107500,518.002671,57.890090,13.929691,-23.911509,575.917551,0.000000
0.108000,517.869484,58.038540,13.892534,-23.882634,575.932798,0.000000
0.108500,517.735762,58.187550,13.855256,-23.853980,575.948068,0.000000
0.109000,517.601509,58.337109,13.817858,-23.825544,575.963355,0.000000
0.109500,517.466725,58.487207,13.780342,-23.797322,575.978650,0.000000
0.110000,517.331415,58.637834,13.742711,-23.769311,575.993946,0.000000
0.110500,517.195581,58.788980,13.704966,-23.741508,576.009237,0.000000
0.111000,517.059228,58.940634,13.667109,-23.713910,576.024517,0.000000
0.111500,516.922359,59.092787,13.629143,-23.686513,576.039778,0.000000
0.112000,516.784979,59.245427,13.591069,-23.659316,576.055015,0.000000
0.112500,516.647094,59.398546,13.552889,-23.632313,576.070224,0.000000
0.113000,516.508708,59.552131,13.514606,-23.605503,576.085399,0.000000
0.113500,516.369826,59.706174,13.476221,-23.578882,576.100535,0.000000
0.114000,516.230456,59.860664,13.437737,-23.552447,576.115629,0.000000
0.114500,516.090601,60.015592,13.399155,-23.526196,576.130675,0.000000
0.115000,515.950270,60.170946,13.360479,-23.500124,576.145671,0.000000
0.115500,515.809468,60.326717,13.321709,-23.474230,576.160613,0.000000
0.116000,515.668202,60.482895,13.282849,-23.448510,576.175496,0.000000
0.116500,515.526479,60.639470,13.243899,-23.422961,576.190320,0.000000
0.117000,515.384306,60.796433,13.204863,-23.397581,576.205080,0.000000
0.117500,515.241689,60.953774,13.165742,-23.372366,576.219773,0.000000
0.118000,515.098637,61.111482,13.126538,-23.347314,576.234399,0.000000
0.118500,514.955156,61.269549,13.087254,-23.322422,576.248954,0.000000
0.119000,514.811254,61.427964,13.047891,-23.297687,576.263436,0.000000
0.119500,514.666939,61.586720,13.008452,-23.273107,576.277844,0.000000
0.120000,514.522218,61.745805,12.968938,-23.248678,576.292176,0.000000
0.120500,514.377099,61.905212,12.929351,-23.224398,576.306431,0.000000
0.121000,514.231589,62.064930,12.889694,-23.200265,576.320606,0.000000
0.121500,514.085697,62.224951,12.849969,-23.176276,576.334702,0.000000
0.122000,513.939431,62.385267,12.810177,-23.152427,576.348717,0.000000
0.122500,513.792797,62.545867,12.770320,-23.128718,576.362650,0.000000
0.123000,513.645805,62.706745,12.730401,-23.105144,576.376500,0.000000
0.123500,513.498462,62.867890,12.690421,-23.081705,576.390266,0.000000
0.124000,513.350775,63.029294,12.650382,-23.058397,576.403949,0.000000
0.124500,513.202754,63.190950,12.610286,-23.035217,576.417547,0.000000
0.125000,513.054405,63.352849,12.570134,-23.012165,576.431061,0.000000
0.125500,512.905737,63.514983,12.529930,-22.989236,576.444490,0.000000
0.126000,512.756757,63.677343,12.489673,-22.966430,576.457834,0.000000
0.126500,512.607474,63.839922,12.449367,-22.943743,576.471092,0.000000
0.127000,512.457894,64.002713,12.409013,-22.921174,576.484266,0.000000
0.127500,512.308027,64.165706,12.368613,-22.898720,576.497354,0.000000
0.128000,512.157879,64.328896,12.328168,-22.876380,576.510357,0.000000
0.128500,512.007458,64.492274,12.287680,-22.854150,576.523276,0.000000
0.129000,511.856771,64.655833,12.247151,-22.832030,576.536111,0.000000
0.129500,511.705827,64.819566,12.206583,-22.810016,576.548861,0.000000
0.130000,511.554633,64.983466,12.165976,-22.788107,576.561527,0.000000
0.130500,511.403196,65.147526,12.125333,-22.766302,576.574111,0.000000
0.131000,511.251523,65.311739,12.084655,-22.744597,576.586611,0.000000
0.131500,511.099623,65.476098,12.043945,-22.722992,576.599030,0.000000
0.132000,510.947501,65.640596,12.003202,-22.701484,576.611367,0.000000
0.132500,510.795165,65.805228,11.962429,-22.680071,576.623622,0.000000
0.133000,510.642623,65.969986,11.921627,-22.658752,576.635798,0.000000
0.133500,510.489880,66.134865,11.880798,-22.637525,576.647893,0.000000
0.134000,510.336945,66.299857,11.839944,-22.616387,576.659910,0.000000
0.134500,510.183823,66.464958,11.799064,-22.595339,576.671849,0.000000
0.135000,510.030522,66.630161,11.758162,-22.574377,576.683710,0.000000
0.135500,509.877049,66.795460,11.717238,-22.553500,576.695494,0.000000
0.136000,509.723409,66.960850,11.676294,-22.532706,576.707202,0.000000
0.136500,509.569609,67.126325,11.635331,-22.511994,576.718835,0.000000
0.137000,509.415656,67.291879,11.594349,-22.491363,576.730394,0.000000
0.137500,509.261555,67.457507,11.553352,-22.470810,576.741880,0.000000
0.138000,509.107314,67.623203,11.512339,-22.450335,576.753293,0.000000
0.138500,508.952938,67.788963,11.471312,-22.429935,576.764635,0.000000
0.139000,508.798432,67.954780,11.430272,-22.409610,576.775905,0.000000
0.139500,508.643804,68.120651,11.389221,-22.389358,576.787106,0.000000
0.140000,508.489059,68.286571,11.348159,-22.369177,576.798238,0.000000
0.140500,508.334203,68.452533,11.307087,-22.349066,576.809302,0.000000
0.141000,508.179241,68.618535,11.266008,-22.329025,576.820298,0.000000
0.141500,508.024178,68.784570,11.224921,-22.309051,576.831229,0.000000
0.142000,507.869021,68.950635,11.183828,-22.289143,576.842094,0.000000
0.142500,507.713775,69.116725,11.142731,-22.269300,576.852894,0.000000
0.143000,507.558444,69.282835,11.101629,-22.249521,576.863631,0.000000
0.143500,507.403034,69.448962,11.060524,-22.229804,576.874306,0.000000
0.144000,507.247551,69.615101,11.019417,-22.210149,576.884918,0.000000
0.144500,507.091999,69.781248,10.978309,-22.190554,576.895470,0.000000
0.145000,506.936383,69.947399,10.937201,-22.171018,576.905962,0.000000
0.145500,506.780708,70.113550,10.896094,-22.151541,576.916395,0.000000
0.146000,506.624978,70.279698,10.854988,-22.132120,576.926770,0.000000
0.146500,506.469199,70.445838,10.813885,-22.112755,576.937088,0.000000
0.147000,506.313375,70.611967,10.772786,-22.093445,576.947349,0.000000
0.147500,506.157510,70.778081,10.731691,-22.074188,576.957555,0.000000
0.148000,506.001608,70.944177,10.690601,-22.054985,576.967706,0.000000
0.148500,505.845675,71.110251,10.649517,-22.035833,576.977804,0.000000
0.149000,505.689714,71.276300,10.608440,-22.016732,576.987848,0.000000
0.149500,505.533729,71.442320,10.567370,-21.997681,576.997840,0.000000
0.150000,505.377725,71.608309,10.526309,-21.978679,577.007782,0.000000
0.150500,505.221705,71.774263,10.485257,-21.959725,577.017672,0.000000
0.151000,505.065674,71.940180,10.444214,-21.940819,577.027514,0.000000
0.151500,504.909634,72.106055,10.403182,-21.921959,577.037306,0.000000
0.152000,504.753590,72.271887,10.362162,-21.903144,577.047050,0.000000
0.152500,504.597546,72.437672,10.321153,-21.884374,577.056748,0.000000
0.153000,504.441505,72.603407,10.280157,-21.865648,577.066398,0.000000
0.153500,504.285470,72.769090,10.239174,-21.846965,577.076003,0.000000
0.154000,504.129446,72.934718,10.198206,-21.828325,577.085563,0.000000
0.154500,503.973435,73.100289,10.157251,-21.809726,577.095079,0.000000
0.155000,503.817440,73.265799,10.116312,-21.791169,577.104551,0.000000
0.155500,503.661465,73.431247,10.075388,-21.772651,577.113981,0.000000
0.156000,503.505513,73.596630,10.034481,-21.754173,577.123368,0.000000
0.156500,503.349587,73.761946,9.993591,-21.735733,577.132714,0.000000
0.157000,503.193690,73.927191,9.952718,-21.717332,577.142020,0.000000
0.157500,503.037826,74.092365,9.911863,-21.698969,577.151285,0.000000
0.158000,502.881996,74.257464,9.871026,-21.680642,577.160511,0.000000
0.158500,502.726203,74.422487,9.830209,-21.662351,577.169698,0.000000
0.159000,502.570451,74.587432,9.789411,-21.644096,577.178847,0.000000
0.159500,502.414743,74.752296,9.748633,-21.625876,577.187959,0.000000
0.160000,502.259079,74.917077,9.707875,-21.607690,577.197034,0.000000
0.160500,502.103464,75.081774,9.667138,-21.589539,577.206072,0.000000
0.161000,501.947900,75.246384,9.626423,-21.571420,577.215075,0.000000
0.161500,501.792389,75.410907,9.585730,-21.553335,577.224043,0.000000
0.162000,501.636934,75.575339,9.545059,-21.535281,577.232976,0.000000
0.162500,501.481536,75.739679,9.504410,-21.517260,577.241875,0.000000
0.163000,501.326198,75.903925,9.463785,-21.499269,577.250741,0.000000
0.163500,501.170923,76.068076,9.423183,-21.481310,577.259574,0.000000
0.164000,501.015713,76.232131,9.382606,-21.463380,577.268375,0.000000
0.164500,500.860569,76.396087,9.342052,-21.445480,577.277143,0.000000
0.165000,500.705493,76.559942,9.301523,-21.427610,577.285881,0.000000
0.165500,500.550488,76.723697,9.261019,-21.409768,577.294587,0.000000
0.166000,500.395556,76.887348,9.220541,-21.391955,577.303263,0.000000
0.166500,500.240699,77.050894,9.180088,-21.374170,577.311909,0.000000
0.167000,500.085918,77.214335,9.139662,-21.356413,577.320526,0.000000
0.167500,499.931215,77.377669,9.099261,-21.338682,577.329113,0.000000
0.168000,499.776591,77.540894,9.058888,-21.320979,577.337673,0.000000
0.168500,499.622050,77.704009,9.018541,-21.303301,577.346203,0.000000
0.169000,499.467592,77.867013,8.978222,-21.285650,577.354707,0.000000
0.169500,499.313219,78.029904,8.937930,-21.268025,577.363182,0.000000
0.170000,499.158932,78.192682,8.897667,-21.250424,577.371631,0.000000
0.170500,499.004734,78.355346,8.857431,-21.232849,577.380054,0.000000
0.171000,498.850625,78.517893,8.817224,-21.215298,577.388450,0.000000
0.171500,498.696607,78.680324,8.777045,-21.197771,577.396821,0.000000
0.172000,498.542682,78.842637,8.736896,-21.180269,577.405166,0.000000
0.172500,498.388851,79.004831,8.696776,-21.162790,577.413486,0.000000
0.173000,498.235115,79.166904,8.656685,-21.145334,577.421781,0.000000
0.173500,498.081475,79.328857,8.616624,-21.127901,577.430052,0.000000
0.174000,497.927934,79.490688,8.576592,-21.110491,577.438299,0.000000
0.174500,497.774491,79.652396,8.536591,-21.093103,577.446522,0.000000
0.175000,497.621149,79.813980,8.496620,-21.075737,577.454722,0.000000
0.175500,497.467908,79.975440,8.456680,-21.058394,577.462899,0.000000
0.176000,497.314770,80.136774,8.416771,-21.041071,577.471053,0.000000
0.176500,497.161735,80.297982,8.376892,-21.023771,577.479184,0.000000
0.177000,497.008805,80.459063,8.337045,-21.006491,577.487293,0.000000
0.177500,496.855982,80.620016,8.297229,-20.989232,577.495381,0.000000
0.178000,496.703265,80.780840,8.257444,-20.971993,577.503446,0.000000
0.178500,496.550656,80.941535,8.217691,-20.954775,577.511491,0.000000
0.179000,496.398155,81.102100,8.177970,-20.937577,577.519514,0.000000
0.179500,496.245765,81.262535,8.138281,-20.920399,577.527516,0.000000
0.180000,496.093485,81.422838,8.098624,-20.903240,577.535498,0.000000
0.180500,495.941317,81.583008,8.059000,-20.886101,577.543459,0.000000
0.181000,495.789261,81.743047,8.019408,-20.868981,577.551400,0.000000
0.181500,495.637318,81.902952,7.979848,-20.851880,577.559321,0.000000
0.182000,495.485490,82.062723,7.940321,-20.834798,577.567223,0.000000
0.182500,495.333776,82.222360,7.900828,-20.817734,577.575105,0.000000
0.183000,495.182178,82.381862,7.861367,-20.800689,577.582967,0.000000
0.183500,495.030696,82.541228,7.821939,-20.783663,577.590811,0.000000
0.184000,494.879331,82.700459,7.782545,-20.766654,577.598635,0.000000
0.184500,494.728084,82.859553,7.743184,-20.749663,577.606441,0.000000
0.185000,494.576955,83.018510,7.703856,-20.732690,577.614229,0.000000
0.185500,494.425945,83.177329,7.664562,-20.715735,577.621998,0.000000
0.186000,494.275055,83.336011,7.625302,-20.698797,577.629748,0.000000
0.186500,494.124285,83.494555,7.586076,-20.681876,577.637481,0.000000
0.187000,493.973636,83.652959,7.546883,-20.664972,577.645196,0.000000
0.187500,493.823109,83.811225,7.507725,-20.648086,577.652894,0.000000
0.188000,493.672703,83.969351,7.468601,-20.631216,577.660574,0.000000
0.188500,493.522420,84.127337,7.429511,-20.614362,577.668236,0.000000
0.189000,493.372260,84.285183,7.390455,-20.597526,577.675882,0.000000
0.189500,493.222223,84.442888,7.351433,-20.580705,577.683510,0.000000
0.190000,493.072310,84.600453,7.312446,-20.563901,577.691122,0.000000
0.190500,492.922522,84.757876,7.273494,-20.547113,577.698716,0.000000
0.191000,492.772858,84.915158,7.234576,-20.530341,577.706294,0.000000
0.191500,492.623320,85.072297,7.195693,-20.513585,577.713856,0.000000
0.192000,492.473908,85.229295,7.156845,-20.496845,577.721401,0.000000
0.192500,492.324621,85.386150,7.118031,-20.480120,577.728930,0.000000
