time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,-0.058371,3.735251,3.772981,0.000000
0.000500,0.000000,0.000000,-0.044652,2.857361,2.886223,0.000000
0.001000,0.000000,8.016642,-1.356319,-3.435299,8.016425,0.000000
0.001500,463.601936,123.866504,-1.787117,-18.958574,587.466294,0.000000
0.002000,463.012686,124.842315,-1.996061,-19.122830,587.851939,0.000000
0.002500,462.396073,125.807577,-2.204362,-19.283273,588.199716,0.000000
0.003000,461.753619,126.762795,-2.412040,-19.440093,588.511650,0.000000
0.003500,461.086778,127.708452,-2.619112,-19.593473,588.789679,0.000000
0.004000,460.396937,128.645011,-2.825598,-19.743587,589.035650,0.000000
0.004500,459.685416,129.572918,-3.031515,-19.890604,589.251331,0.000000
0.005000,458.953479,130.492597,-3.236883,-20.034684,589.438407,0.000000
0.005500,458.202327,131.404459,-3.441718,-20.175981,589.598488,0.000000
0.006000,457.433106,132.308893,-3.646037,-20.314643,589.733112,0.000000
0.006500,456.646908,133.206276,-3.849857,-20.450811,589.843745,0.000000
0.007000,455.844774,134.096967,-4.053195,-20.584620,589.931786,0.000000
0.007500,455.027696,134.981310,-4.256067,-20.716200,589.998570,0.000000
0.008000,454.196617,135.859635,-4.458488,-20.845675,590.045368,0.000000
0.008500,453.352436,136.732258,-4.660474,-20.973164,590.073395,0.000000
0.009000,452.496008,137.599481,-4.862039,-21.098780,590.083808,0.000000
0.009500,451.628147,138.461594,-5.063199,-21.222631,590.077709,0.000000
0.010000,450.749627,139.318874,-5.263967,-21.344822,590.056147,0.000000
0.010500,449.861184,140.171586,-5.464357,-21.465452,590.020124,0.000000
0.011000,448.963518,141.019983,-5.664383,-21.584615,589.970591,0.000000
0.011500,448.057294,141.864310,-5.864059,-21.702403,589.908456,0.000000
0.012000,447.143144,142.704797,-6.063396,-21.818902,589.834582,0.000000
0.012500,446.221668,143.541666,-6.262407,-21.934195,589.749789,0.000000
0.013000,445.293435,144.375131,-6.461105,-22.048361,589.654859,0.000000
0.013500,444.358986,145.205393,-6.659501,-22.161475,589.550534,0.000000
0.014000,443.418835,146.032647,-6.857607,-22.273610,589.437521,0.000000
0.014500,442.473467,146.857078,-7.055434,-22.384833,589.316488,0.000000
0.015000,441.523343,147.678862,-7.252993,-22.495212,589.188075,0.000000
0.015500,440.568901,148.498169,-7.450295,-22.604807,589.052885,0.000000
0.016000,439.610554,149.315160,-7.647349,-22.713680,588.911492,0.000000
0.016500,438.648693,150.129989,-7.844166,-22.821886,588.764442,0.000000
0.017000,437.683689,150.942802,-8.040754,-22.929479,588.612251,0.000000
0.017500,436.715893,151.753740,-8.237125,-23.036512,588.455408,0.000000
0.018000,435.745635,152.562936,-8.433287,-23.143033,588.294378,0.000000
0.018500,434.773229,153.370518,-8.629248,-23.249089,588.129599,0.000000
0.019000,433.798969,154.176607,-8.825017,-23.354725,587.961488,0.000000
0.019500,432.823134,154.981318,-9.020602,-23.459982,587.790438,0.000000
0.020000,431.845986,155.784763,-9.216012,-23.564901,587.616821,0.000000
0.020500,430.867774,156.587045,-9.411254,-23.669521,587.440988,0.000000
0.021000,429.888730,157.388264,-9.606336,-23.773876,587.263273,0.000000
0.021500,428.909072,158.188516,-9.801265,-23.878002,587.083987,0.000000
0.022000,427.929008,158.987890,-9.996048,-23.981932,586.903427,0.000000
0.022500,426.948729,159.786473,-10.190692,-24.085695,586.721871,0.000000
0.023000,425.968419,160.584346,-10.385204,-24.189323,586.539581,0.000000
0.023500,424.988246,161.381586,-10.579589,-24.292842,586.356805,0.000000
0.024000,424.008369,162.178266,-10.773854,-24.396279,586.173774,0.000000
0.024500,423.028938,162.974458,-10.968005,-24.499658,585.990706,0.000000
0.025000,422.050092,163.770226,-11.162048,-24.603004,585.807806,0.000000
0.025500,421.071960,164.565633,-11.355989,-24.706339,585.625266,0.000000
0.026000,420.094663,165.360739,-11.549832,-24.809683,585.443264,0.000000
0.026500,419.118312,166.155600,-11.743583,-24.913057,585.261970,0.000000
0.027000,418.143013,166.950269,-11.937246,-25.016479,585.081540,0.000000
0.027500,417.168862,167.744796,-12.130827,-25.119967,584.902120,0.000000
0.028000,416.195948,168.539228,-12.324331,-25.223538,584.723847,0.000000
0.028500,415.224354,169.333611,-12.517761,-25.327206,584.546847,0.000000
0.029000,414.254155,170.127987,-12.711122,-25.430988,584.371238,0.000000
0.029500,413.285420,170.922395,-12.904419,-25.534896,584.197129,0.000000
0.030000,412.318215,171.716873,-13.097654,-25.638944,584.024622,0.000000
0.030500,411.352597,172.511455,-13.290833,-25.743144,583.853808,0.000000
0.031000,410.388618,173.306177,-13.483958,-25.847507,583.684773,0.000000
0.031500,409.426326,174.101067,-13.677034,-25.952043,583.517597,0.000000
0.032000,408.465766,174.896156,-13.870063,-26.056762,583.352350,0.000000
0.032500,407.506974,175.691470,-14.063049,-26.161675,583.189099,0.000000
0.033000,406.549986,176.487036,-14.255995,-26.266788,583.027903,0.000000
0.033500,405.594831,177.282877,-14.448904,-26.372110,582.868816,0.000000
0.034000,404.641536,178.079014,-14.641780,-26.477649,582.711885,0.000000
0.034500,403.690125,178.875470,-14.834624,-26.583411,582.557155,0.000000
0.035000,402.740615,179.672262,-15.027439,-26.689402,582.404663,0.000000
0.035500,401.793025,180.469409,-15.220229,-26.795629,582.254444,0.000000
0.036000,400.847366,181.266927,-15.412995,-26.902096,582.106527,0.000000
0.036500,399.903650,182.064832,-15.605740,-27.008808,581.960937,0.000000
0.037000,398.961884,182.863136,-15.798466,-27.115769,581.817695,0.000000
0.037500,398.022073,183.661854,-15.991175,-27.222984,581.676820,0.000000
0.038000,397.084221,184.460996,-16.183869,-27.330455,581.538326,0.000000
0.038500,396.148327,185.260573,-16.376551,-27.438187,581.402224,0.000000
0.039000,395.214391,186.060595,-16.569222,-27.546182,581.268521,0.000000
0.039500,394.282409,186.861071,-16.761883,-27.654442,581.137223,0.000000
0.040000,393.352376,187.662007,-16.954537,-27.762970,581.008333,0.000000
0.040500,392.424284,188.463412,-17.147185,-27.871767,580.881851,0.000000
0.041000,391.498127,189.265291,-17.339829,-27.980835,580.757773,0.000000
0.041500,390.573893,190.067650,-17.532470,-28.090176,580.636095,0.000000
0.042000,389.651571,190.870493,-17.725109,-28.199789,580.516810,0.000000
0.042500,388.731149,191.673824,-17.917748,-28.309677,580.399909,0.000000
0.043000,387.812613,192.477647,-18.110389,-28.419840,580.285383,0.000000
0.043500,386.895947,193.281963,-18.303032,-28.530277,580.173217,0.000000
0.044000,385.981137,194.086775,-18.495678,-28.640990,580.063399,0.000000
0.044500,385.068165,194.892085,-18.688328,-28.751978,579.955913,0.000000
0.045000,384.157014,195.697893,-18.880984,-28.863241,579.850741,0.000000
0.045500,383.247665,196.504200,-19.073647,-28.974779,579.747867,0.000000
0.046000,382.340098,197.311006,-19.266316,-29.086591,579.647270,0.000000
0.046500,381.434295,198.118311,-19.458994,-29.198676,579.548931,0.000000
0.047000,380.530235,198.926113,-19.651681,-29.311034,579.452828,0.000000
0.047500,379.627896,199.734411,-19.844378,-29.423663,579.358939,0.000000
0.048000,378.727258,200.543204,-20.037085,-29.536563,579.267240,0.000000
0.048500,377.828298,201.352489,-20.229802,-29.649733,579.177708,0.000000
0.049000,376.930995,202.162265,-20.422532,-29.763170,579.090318,0.000000
0.049500,376.035325,202.972529,-20.615274,-29.876875,579.005045,0.000000
0.050000,375.141267,203.783278,-20.808028,-29.990844,578.921863,0.000000
0.050500,374.248796,204.594508,-21.000796,-30.105078,578.840747,0.000000
0.051000,373.357889,205.406217,-21.193577,-30.219573,578.761668,0.000000
0.051500,372.468524,206.218401,-21.386372,-30.334329,578.684601,0.000000
0.052000,371.580677,207.031056,-21.579182,-30.449343,578.609518,0.000000
0.052500,370.694324,207.844178,-21.772006,-30.564615,578.536391,0.000000
0.053000,369.809440,208.657762,-21.964846,-30.680141,578.465193,0.000000
0.053500,368.926004,209.471805,-22.157701,-30.795920,578.395894,0.000000
0.054000,368.043990,210.286302,-22.350571,-30.911950,578.328467,0.000000
0.054500,367.163375,211.101248,-22.543457,-31.028230,578.262884,0.000000
0.055000,366.284135,211.916639,-22.736360,-31.144756,578.199116,0.000000
0.055500,365.406247,212.732469,-22.929278,-31.261527,578.137134,0.000000
0.056000,364.529687,213.548734,-23.122213,-31.378541,578.076909,0.000000
0.056500,363.654432,214.365428,-23.315165,-31.495796,578.018414,0.000000
0.057000,362.780457,215.182546,-23.508133,-31.613290,577.961619,0.000000
0.057500,361.907741,216.000084,-23.701117,-31.731019,577.906497,0.000000
0.058000,361.036260,216.818035,-23.894119,-31.848984,577.853019,0.000000
0.058500,360.165992,217.636395,-24.087137,-31.967180,577.801156,0.000000
0.059000,359.296912,218.455157,-24.280172,-32.085606,577.750881,0.000000
0.059500,358.429000,219.274317,-24.473224,-32.204260,577.702165,0.000000
0.060000,357.562232,220.093869,-24.666293,-32.323139,577.654981,0.000000
0.060500,356.696587,220.913808,-24.859378,-32.442242,577.609301,0.000000
0.061000,355.832042,221.734127,-25.052480,-32.561566,577.565098,0.000000
0.061500,354.968577,222.554821,-25.245599,-32.681109,577.522344,0.000000
0.062000,354.106169,223.375886,-25.438735,-32.800869,577.481014,0.000000
0.062500,353.244798,224.197314,-25.631887,-32.920844,577.441079,0.000000
0.063000,352.384443,225.019101,-25.825056,-33.041031,577.402514,0.000000
0.063500,351.525083,225.841241,-26.018241,-33.161429,577.365292,0.000000
0.064000,350.666698,226.663729,-26.211443,-33.282035,577.329388,0.000000
0.064500,349.809268,227.486559,-26.404660,-33.402847,577.294776,0.000000
0.065000,348.952772,228.309725,-26.597894,-33.523863,577.261431,0.000000
0.065500,348.097193,229.133222,-26.791143,-33.645082,577.229328,0.000000
0.066000,347.242509,229.957044,-26.984409,-33.766500,577.198442,0.000000
0.066500,346.388703,230.781187,-27.177690,-33.888116,577.168749,0.000000
0.067000,345.535755,231.605644,-27.370986,-34.009929,577.140225,0.000000
0.067500,344.683648,232.430411,-27.564298,-34.131935,577.112846,0.000000
0.068000,343.832363,233.255482,-27.757624,-34.254134,577.086589,0.000000
0.068500,342.981883,234.080852,-27.950966,-34.376522,577.061430,0.000000
0.069000,342.132189,234.906515,-28.144323,-34.499099,577.037348,0.000000
0.069500,341.283266,235.732467,-28.337694,-34.621862,577.014320,0.000000
0.070000,340.435095,236.558702,-28.531079,-34.744809,576.992324,0.000000
0.070500,339.587661,237.385215,-28.724479,-34.867940,576.971338,0.000000
0.071000,338.740947,238.212002,-28.917892,-34.991251,576.951341,0.000000
0.071500,337.894937,239.039056,-29.111320,-35.114741,576.932311,0.000000
0.072000,337.049615,239.866374,-29.304760,-35.238408,576.914230,0.000000
0.072500,336.204965,240.693951,-29.498215,-35.362252,576.897075,0.000000
0.073000,335.360974,241.521782,-29.691682,-35.486269,576.880828,0.000000
0.073500,334.517625,242.349861,-29.885163,-35.610458,576.865468,0.000000
0.074000,333.674905,243.178185,-30.078656,-35.734818,576.850977,0.000000
0.074500,332.832798,244.006748,-30.272161,-35.859347,576.837335,0.000000
0.075000,331.991291,244.835547,-30.465679,-35.984044,576.824525,0.000000
0.075500,331.150370,245.664577,-30.659209,-36.108906,576.812527,0.000000
0.076000,330.310021,246.493833,-30.852751,-36.233934,576.801324,0.000000
0.076500,329.470232,247.323311,-31.046304,-36.359124,576.790898,0.000000
0.077000,328.630989,248.153006,-31.239869,-36.484475,576.781233,0.000000
0.077500,327.792279,248.982916,-31.433445,-36.609987,576.772310,0.000000
0.078000,326.954091,249.813034,-31.627032,-36.735657,576.764115,0.000000
0.078500,326.116411,250.643358,-31.820630,-36.861485,576.756630,0.000000
0.079000,325.279229,251.473883,-32.014238,-36.987469,576.749839,0.000000
0.079500,324.442532,252.304605,-32.207857,-37.113608,576.743727,0.000000
0.080000,323.606308,253.135521,-32.401486,-37.239900,576.738279,0.000000
0.080500,322.770548,253.966626,-32.595124,-37.366344,576.733479,0.000000
0.081000,321.935239,254.797917,-32.788773,-37.492940,576.729314,0.000000
0.081500,321.100370,255.629391,-32.982430,-37.619685,576.725768,0.000000
0.082000,320.265933,256.461042,-33.176097,-37.746579,576.722827,0.000000
0.082500,319.431915,257.292869,-33.369773,-37.873621,576.720478,0.000000
0.083000,318.598307,258.124867,-33.563458,-38.000809,576.718707,0.000000
0.083500,317.765100,258.957033,-33.757151,-38.128143,576.717500,0.000000
0.084000,316.932283,259.789364,-33.950853,-38.255621,576.716846,0.000000
0.084500,316.099848,260.621856,-34.144563,-38.383243,576.716731,0.000000
0.085000,315.267785,261.454507,-34.338281,-38.511007,576.717143,0.000000
0.085500,314.436084,262.287312,-34.532006,-38.638912,576.718069,0.000000
0.086000,313.604738,263.120268,-34.725740,-38.766958,576.719498,0.000000
0.086500,312.773738,263.953374,-34.919480,-38.895144,576.721418,0.000000
0.087000,311.943075,264.786625,-35.113228,-39.023468,576.723819,0.000000
0.087500,311.112741,265.620019,-35.306983,-39.151931,576.726688,0.000000
0.088000,310.282728,266.453553,-35.500744,-39.280530,576.730014,0.000000
0.088500,309.453028,267.287223,-35.694512,-39.409266,576.733788,0.000000
0.089000,308.623634,268.121029,-35.888287,-39.538137,576.737999,0.000000
0.089500,307.794538,268.954965,-36.082068,-39.667144,576.742636,0.000000
0.090000,306.965734,269.789030,-36.275855,-39.796284,576.747691,0.000000
0.090500,306.137212,270.623222,-36.469647,-39.925558,576.753152,0.000000
0.091000,305.308968,271.457538,-36.663446,-40.054964,576.759011,0.000000
0.091500,304.480993,272.291974,-36.857250,-40.184503,576.765258,0.000000
0.092000,303.653282,273.126530,-37.051059,-40.314172,576.771884,0.000000
0.092500,302.825828,273.961201,-37.244873,-40.443973,576.778881,0.000000
0.093000,301.998624,274.795987,-37.438693,-40.573904,576.786240,0.000000
0.093500,301.171665,275.630885,-37.632517,-40.703965,576.793952,0.000000
0.094000,300.344944,276.465892,-37.826346,-40.834155,576.802009,0.000000
0.094500,299.518456,277.301007,-38.020179,-40.964473,576.810404,0.000000
0.095000,298.692194,278.136226,-38.214017,-41.094920,576.819127,0.000000
0.095500,297.866154,278.971549,-38.407859,-41.225494,576.828173,0.000000
0.096000,297.040329,279.806973,-38.601705,-41.356196,576.837532,0.000000
0.096500,296.214714,280.642496,-38.795555,-41.487024,576.847198,0.000000
0.097000,295.389305,281.478116,-38.989409,-41.617979,576.857164,0.000000
0.097500,294.564096,282.313831,-39.183267,-41.749059,576.867423,0.000000
0.098000,293.739082,283.149640,-39.377127,-41.880266,576.877967,0.000000
0.098500,292.914258,283.985540,-39.570992,-42.011597,576.888791,0.000000
0.099000,292.089620,284.821530,-39.764859,-42.143053,576.899887,0.000000
0.099500,291.265162,285.657608,-39.958729,-42.274634,576.911251,0.000000
0.100000,290.440882,286.493773,-40.152603,-42.406339,576.922874,0.000000
0.100500,289.616773,287.330022,-40.346479,-42.538169,576.934752,0.000000
0.101000,288.792832,288.166354,-40.540358,-42.670121,576.946878,0.000000
0.101500,287.969055,289.002767,-40.734239,-42.802198,576.959248,0.000000
0.102000,287.145437,289.839261,-40.928123,-42.934397,576.971854,0.000000
0.102500,286.321975,290.675833,-41.122009,-43.066720,576.984692,0.000000
0.103000,285.498665,291.512482,-41.315897,-43.199165,576.997757,0.000000
0.103500,284.675503,292.349207,-41.509788,-43.331733,577.011043,0.000000
0.104000,283.852485,293.186006,-41.703680,-43.464423,577.024545,0.000000
0.104500,283.029608,294.022877,-41.897574,-43.597236,577.038258,0.000000
0.105000,282.206868,294.859820,-42.091470,-43.730170,577.052178,0.000000
0.105500,281.384262,295.696834,-42.285367,-43.863227,577.066300,0.000000
0.106000,280.561786,296.533916,-42.479267,-43.996405,577.080619,0.000000
0.106500,279.739438,297.371066,-42.673167,-44.129705,577.095130,0.000000
0.107000,278.917214,298.208283,-42.867069,-44.263127,577.109831,0.000000
0.107500,278.095111,299.045565,-43.060972,-44.396670,577.124715,0.000000
0.108000,277.273125,299.882912,-43.254876,-44.530335,577.139779,0.000000
0.108500,276.451255,300.720321,-43.448781,-44.664121,577.155020,0.000000
0.109000,275.629497,301.557793,-43.642688,-44.798029,577.170433,0.000000
0.109500,274.807849,302.395325,-43.836595,-44.932058,577.186014,0.000000
0.110000,273.986307,303.232918,-44.030503,-45.066208,577.201760,0.000000
0.110500,273.164869,304.070570,-44.224411,-45.200480,577.217666,0.000000
0.111000,272.343532,304.908280,-44.418320,-45.334873,577.233730,0.000000
0.111500,271.522295,305.746047,-44.612230,-45.469388,577.249949,0.000000
0.112000,270.701153,306.583870,-44.806140,-45.604023,577.266317,0.000000
0.112500,269.880106,307.421749,-45.000051,-45.738780,577.282833,0.000000
0.113000,269.059151,308.259682,-45.193962,-45.873659,577.299493,0.000000
0.113500,268.238284,309.097669,-45.387873,-46.008659,577.316295,0.000000
0.114000,267.417505,309.935708,-45.581784,-46.143781,577.333234,0.000000
0.114500,266.596811,310.773800,-45.775695,-46.279024,577.350308,0.000000
0.115000,265.776200,311.611943,-45.969606,-46.414389,577.367514,0.000000
0.115500,264.955669,312.450136,-46.163518,-46.549876,577.384850,0.000000
0.116000,264.135217,313.288380,-46.357429,-46.685484,577.402312,0.000000
0.116500,263.314842,314.126672,-46.551340,-46.821215,577.419898,0.000000
0.117000,262.494542,314.965013,-46.745251,-46.957068,577.437605,0.000000
0.117500,261.674314,315.803401,-46.939161,-47.093043,577.455431,0.000000
0.118000,260.854158,316.641837,-47.133071,-47.229140,577.473373,0.000000
0.118500,260.034071,317.480319,-47.326981,-47.365360,577.491429,0.000000
0.119000,259.214051,318.318847,-47.520890,-47.501703,577.509597,0.000000
0.119500,258.394097,319.157420,-47.714799,-47.638168,577.527873,0.000000
0.120000,257.574208,319.996038,-47.908707,-47.774757,577.546257,0.000000
0.120500,256.754381,320.834700,-48.102614,-47.911468,577.564745,0.000000
0.121000,255.934614,321.673405,-48.296521,-48.048303,577.583336,0.000000
0.121500,255.114908,322.512154,-48.490427,-48.185261,577.602028,0.000000
0.122000,254.295259,323.350945,-48.684332,-48.322344,577.620818,0.000000
0.122500,253.475666,324.189779,-48.878237,-48.459550,577.639705,0.000000
0.123000,252.656128,325.028653,-49.072140,-48.596880,577.658686,0.000000
0.123500,251.836644,325.867569,-49.266043,-48.734334,577.677760,0.000000
0.124000,251.017211,326.706526,-49.459945,-48.871913,577.696924,0.000000
0.124500,250.197830,327.545523,-49.653845,-49.009617,577.716178,0.000000
0.125000,249.378498,328.384559,-49.847745,-49.147445,577.735520,0.000000
0.125500,248.559213,329.223635,-50.041644,-49.285399,577.754947,0.000000
0.126000,247.739976,330.062750,-50.235541,-49.423478,577.774458,0.000000
0.126500,246.920784,330.901904,-50.429437,-49.561683,577.794051,0.000000
0.127000,246.101637,331.741096,-50.623332,-49.700014,577.813725,0.000000
0.127500,245.282533,332.580325,-50.817226,-49.838471,577.833479,0.000000
0.128000,244.463471,333.419593,-51.011119,-49.977054,577.853310,0.000000
0.128500,243.644450,334.258897,-51.205010,-50.115764,577.873217,0.000000
0.129000,242.825468,335.098238,-51.398900,-50.254601,577.893200,0.000000
0.129500,242.006525,335.937616,-51.592789,-50.393566,577.913255,0.000000
0.130000,241.187620,336.777030,-51.786676,-50.532657,577.933383,0.000000
0.130500,240.368752,337.616480,-51.980562,-50.671877,577.953582,0.000000
0.131000,239.549919,338.455966,-52.174447,-50.811224,577.973850,0.000000
0.131500,238.731120,339.295487,-52.368330,-50.950700,577.994186,0.000000
0.132000,237.912355,340.135043,-52.562211,-51.090304,578.014589,0.000000
0.132500,237.093623,340.974634,-52.756091,-51.230037,578.035058,0.000000
0.133000,236.274922,341.814260,-52.949970,-51.369900,578.055591,0.000000
0.133500,235.456252,342.653920,-53.143846,-51.509892,578.076188,0.000000
0.134000,234.637612,343.493614,-53.337722,-51.650013,578.096847,0.000000
0.134500,233.819001,344.333343,-53.531595,-51.790265,578.117567,0.000000
0.135000,233.000418,345.173105,-53.725467,-51.930648,578.138347,0.000000
0.135500,232.181862,346.012900,-53.919338,-52.071161,578.159185,0.000000
0.136000,231.363332,346.852729,-54.113206,-52.211805,578.180082,0.000000
0.136500,230.544828,347.692591,-54.307073,-52.352580,578.201036,0.000000
0.137000,229.726349,348.532485,-54.500938,-52.493487,578.222046,0.000000
0.137500,228.907894,349.372413,-54.694802,-52.634526,578.243110,0.000000
0.138000,228.089462,350.212373,-54.888663,-52.775697,578.264229,0.000000
0.138500,227.271052,351.052365,-55.082523,-52.917001,578.285401,0.000000
0.139000,226.452664,351.892390,-55.276381,-53.058438,578.306624,0.000000
0.139500,225.634296,352.732447,-55.470238,-53.200009,578.327899,0.000000
0.140000,224.815949,353.572536,-55.664092,-53.341713,578.349225,0.000000
0.140500,223.997622,354.412657,-55.857945,-53.483551,578.370599,0.000000
0.141000,223.179313,355.252809,-56.051796,-53.625523,578.392023,0.000000
0.141500,222.361022,356.092993,-56.245644,-53.767630,578.413494,0.000000
0.142000,221.542748,356.933208,-56.439491,-53.909872,578.435013,0.000000
0.142500,220.724491,357.773455,-56.633336,-54.052250,578.456577,0.000000
0.143000,219.906250,358.613733,-56.827180,-54.194763,578.478187,0.000000
0.143500,219.088025,359.454042,-57.021021,-54.337412,578.499842,0.000000
0.144000,218.269814,360.294382,-57.214860,-54.480198,578.521541,0.000000
0.144500,217.451617,361.134752,-57.408697,-54.623120,578.543283,0.000000
0.145000,216.633434,361.975154,-57.602533,-54.766180,578.565067,0.000000
0.145500,215.815263,362.815586,-57.796366,-54.909377,578.586893,0.000000
0.146000,214.997105,363.656049,-57.990197,-55.052712,578.608760,0.000000
0.146500,214.178958,364.496542,-58.184027,-55.196186,578.630668,0.000000
0.147000,213.360823,365.337066,-58.377854,-55.339797,578.652615,0.000000
0.147500,212.542698,366.177621,-58.571679,-55.483548,578.674601,0.000000
0.148000,211.724582,367.018205,-58.765503,-55.627439,578.696626,0.000000
0.148500,210.906476,367.858820,-58.959324,-55.771469,578.718689,0.000000
0.149000,210.088379,368.699465,-59.153143,-55.915639,578.740788,0.000000
0.149500,209.270290,369.540140,-59.346960,-56.059949,578.762925,0.000000
0.150000,208.452209,370.380845,-59.540775,-56.204401,578.785097,0.000000
0.150500,207.634134,371.221580,-59.734588,-56.348993,578.807304,0.000000
0.151000,206.816066,372.062345,-59.928399,-56.493727,578.829546,0.000000
0.151500,205.998005,372.903140,-60.122208,-56.638604,578.851822,0.000000
0.152000,205.179948,373.743965,-60.316014,-56.783622,578.874132,0.000000
0.152500,204.361897,374.584819,-60.509819,-56.928783,578.896474,0.000000
0.153000,203.543850,375.425703,-60.703621,-57.074088,578.918850,0.000000
0.153500,202.725807,376.266617,-60.897422,-57.219536,578.941256,0.000000
0.154000,201.907767,377.107561,-61.091220,-57.365127,578.963695,0.000000
0.154500,201.089730,377.948534,-61.285016,-57.510863,578.986164,0.000000
0.155000,200.271696,378.789537,-61.478810,-57.656744,579.008663,0.000000
0.155500,199.453664,379.630570,-61.672602,-57.802770,579.031192,0.000000
0.156000,198.635633,380.471632,-61.866391,-57.948941,579.053750,0.000000
0.156500,197.817603,381.312724,-62.060179,-58.095258,579.076337,0.000000
0.157000,196.999573,382.153845,-62.253964,-58.241721,579.098952,0.000000
0.157500,196.181544,382.994995,-62.447747,-58.388331,579.121595,0.000000
0.158000,195.363514,383.836175,-62.641528,-58.535088,579.144264,0.000000
0.158500,194.545483,384.677385,-62.835307,-58.681992,579.166961,0.000000
0.159000,193.727450,385.518624,-63.029083,-58.829044,579.189684,0.000000
0.159500,192.909416,386.359892,-63.222858,-58.976245,579.212432,0.000000
0.160000,192.091379,387.201190,-63.416630,-59.123594,579.235206,0.000000
0.160500,191.273339,388.042517,-63.610400,-59.271092,579.258004,0.000000
0.161000,190.455297,388.883874,-63.804168,-59.418739,579.280827,0.000000
0.161500,189.637250,389.725260,-63.997933,-59.566536,579.303673,0.000000
0.162000,188.819199,390.566675,-64.191697,-59.714483,579.326543,0.000000
0.162500,188.001144,391.408120,-64.385458,-59.862581,579.349436,0.000000
0.163000,187.183083,392.249594,-64.579217,-60.010830,579.372351,0.000000
0.163500,186.365017,393.091098,-64.772973,-60.159231,579.395288,0.000000
0.164000,185.546945,393.932630,-64.966728,-60.307783,579.418247,0.000000
0.164500,184.728867,394.774193,-65.160480,-60.456487,579.441226,0.000000
0.165000,183.910781,395.615784,-65.354230,-60.605344,579.464227,0.000000
0.165500,183.092689,396.457405,-65.547978,-60.754355,579.487247,0.000000
0.166000,182.274589,397.299055,-65.741723,-60.903518,579.510288,0.000000
0.166500,181.456480,398.140735,-65.935467,-61.052836,579.533347,0.000000
0.167000,180.638363,398.982444,-66.129208,-61.202307,579.556426,0.000000
0.167500,179.820237,399.824182,-66.322946,-61.351934,579.579523,0.000000
0.168000,179.002101,400.665950,-66.516683,-61.501715,579.602638,0.000000
0.168500,178.183956,401.507747,-66.710417,-61.651652,579.625771,0.000000
0.169000,177.365800,402.349574,-66.904149,-61.801745,579.648921,0.000000
0.169500,176.547633,403.191430,-67.097879,-61.951994,579.672088,0.000000
0.170000,175.729455,404.033315,-67.291606,-62.102400,579.695271,0.000000
0.170500,174.911266,404.875230,-67.485332,-62.252963,579.718470,0.000000
0.171000,174.093064,405.717174,-67.679055,-62.403684,579.741685,0.000000
0.171500,173.274850,406.559148,-67.872775,-62.554562,579.764914,0.000000
0.172000,172.456624,407.401151,-68.066494,-62.705600,579.788159,0.000000
0.172500,171.638384,408.243184,-68.260210,-62.856795,579.811417,0.000000
0.173000,170.820130,409.085246,-68.453924,-63.008151,579.834690,0.000000
0.173500,170.001862,409.927338,-68.647635,-63.159665,579.857976,0.000000
0.174000,169.183579,410.769459,-68.841344,-63.311340,579.881275,0.000000
0.174500,168.365282,411.611609,-69.035051,-63.463176,579.904586,0.000000
0.175000,167.546969,412.453790,-69.228756,-63.615172,579.927910,0.000000
0.175500,166.728640,413.295999,-69.422459,-63.767330,579.951246,0.000000
0.176000,165.910295,414.138239,-69.616159,-63.919649,579.974593,0.000000
0.176500,165.091933,414.980508,-69.809856,-64.072131,579.997951,0.000000
0.177000,164.273555,415.822806,-70.003552,-64.224775,580.021320,0.000000
0.177500,163.455158,416.665134,-70.197245,-64.377582,580.044698,0.000000
0.178000,162.636744,417.507492,-70.390936,-64.530553,580.068087,0.000000
0.178500,161.818311,418.349880,-70.584625,-64.683688,580.091485,0.000000
0.179000,160.999860,419.192297,-70.778311,-64.836986,580.114892,0.000000
0.179500,160.181390,420.034743,-70.971995,-64.990450,580.138307,0.000000
0.180000,159.362899,420.877220,-71.165677,-65.144079,580.161731,0.000000
0.180500,158.544389,421.719726,-71.359356,-65.297873,580.185162,0.000000
0.181000,157.725859,422.562262,-71.553033,-65.451834,580.208601,0.000000
0.181500,156.907307,423.404828,-71.746708,-65.605961,580.232046,0.000000
0.182000,156.088734,424.247424,-71.940380,-65.760254,580.255498,0.000000
0.182500,155.270140,425.090049,-72.134050,-65.914715,580.278957,0.000000
0.183000,154.451523,425.932704,-72.327718,-66.069344,580.302421,0.000000
0.183500,153.632884,426.775389,-72.521383,-66.224141,580.325890,0.000000
0.184000,152.814222,427.618104,-72.715047,-66.379107,580.349364,0.000000
0.184500,151.995536,428.460849,-72.908707,-66.534241,580.372843,0.000000
0.185000,151.176827,429.303623,-73.102366,-66.689545,580.396325,0.000000
0.185500,150.358093,430.146428,-73.296022,-66.845019,580.419812,0.000000
0.186000,149.539335,430.989262,-73.489676,-67.000663,580.443301,0.000000
0.186500,148.720552,431.832127,-73.683327,-67.156478,580.466794,0.000000
0.187000,147.901743,432.675021,-73.876976,-67.312465,580.490289,0.000000
0.187500,147.082908,433.517945,-74.070623,-67.468623,580.513786,0.000000
